"wall_clock","relative time","geom","total"
"2020-06-30 18:41:46.049338","22.185300000000000000000000000000","1996049","2402819"
"2020-06-30 18:41:46.152980","22.288942000000000000000000000000","2774878","3181648"
"2020-06-30 18:41:46.256360","22.392322000000000000000000000000","2027489","2434259"
"2020-06-30 18:41:46.359300","22.495262000000000000000000000000","2043569","2450339"
"2020-06-30 18:41:46.463061","22.599023000000000000000000000000","844023","1250793"
"2020-06-30 18:41:46.566559","22.702521000000000000000000000000","970023","1376793"
"2020-06-30 18:41:46.669847","22.805809000000000000000000000000","1036023","1442793"
"2020-06-30 18:41:46.772843","22.908805000000000000000000000000","1085463","1492233"
"2020-06-30 18:41:46.875911","23.011873000000000000000000000000","1128663","1535433"
"2020-06-30 18:41:46.979035","23.114997000000000000000000000000","1164423","1571193"
"2020-06-30 18:41:47.082614","23.218576000000000000000000000000","1199223","1605993"
"2020-06-30 18:41:47.186328","23.322290000000000000000000000000","1228503","1635273"
"2020-06-30 18:41:47.289490","23.425452000000000000000000000000","1257303","1664073"
"2020-06-30 18:41:47.392667","23.528629000000000000000000000000","1284423","1691193"
"2020-06-30 18:41:47.495647","23.631609000000000000000000000000","1310583","1717353"
"2020-06-30 18:41:47.599950","23.735912000000000000000000000000","1333623","1740393"
"2020-06-30 18:41:47.703168","23.839130000000000000000000000000","1357143","1763913"
"2020-06-30 18:41:47.806557","23.942519000000000000000000000000","1378503","1785273"
"2020-06-30 18:41:47.909577","24.045539000000000000000000000000","1399143","1805913"
"2020-06-30 18:41:48.012687","24.148649000000000000000000000000","1418583","1825353"
"2020-06-30 18:41:48.116145","24.252107000000000000000000000000","1439463","1846233"
"2020-06-30 18:41:48.219374","24.355336000000000000000000000000","1457703","1864473"
"2020-06-30 18:41:48.322595","24.458557000000000000000000000000","1476183","1882953"
"2020-06-30 18:41:48.425689","24.561651000000000000000000000000","1493223","1899993"
"2020-06-30 18:41:48.528870","24.664832000000000000000000000000","1511223","1917993"
"2020-06-30 18:41:48.632371","24.768333000000000000000000000000","2255492","2662262"
"2020-06-30 18:41:48.735889","24.871851000000000000000000000000","1542903","1949673"
"2020-06-30 18:41:48.839518","24.975480000000000000000000000000","1558023","1964793"
"2020-06-30 18:41:48.942728","25.078690000000000000000000000000","1574583","1981353"
"2020-06-30 18:41:49.046044","25.182006000000000000000000000000","1589703","1996473"
"2020-06-30 18:41:49.149437","25.285399000000000000000000000000","0","216938"
